Jahr;Einwohner insg.;Einw. männlich;Einw. weiblich;Einw. ledig;Einw. verheiratet;Einw. verwitwet;Einw. geschieden;Einwohner unter 6;Einwohner 6 bis unter 10;Einwohner 10 bis unter 18;Einwohner 18 bis unter 25;Einwohner 25 bis unter 45;Einwohner 45 bis unter 65;Einwohner 65 bis unter 80;Einwohner ab 80;Fläche in ha;Einwohner im Vorjahr;Einwohner vor 5 Jahren;Stat.Bezirk (zusammengefasst);Einw. deutsch ohne Migrationshintergrund;Einw. deutsch mit Migrationshintergrund;Einwohner ausländisch;Einwohner mit Migr.Hintergrund insg.;Nation.Gruppe Deutschland;Nation.Gruppe EU;Nation.Gruppe Europa, nicht-EU;Nation.Gruppe Übrige Welt
2024;18896;9600;9296;10644;5836;800;1616;903;567;1162;2430;6699;4414;1925;796;83;18567;18195;Glockenhof;7464;4055;7377;11432;11519;2677;2287;2413
2024;3731;1800;1931;1804;1439;211;277;205;110;184;308;1191;975;530;228;43;3766;3654;Guntherstraße;2239;737;755;1492;2976;310;254;191
2024;20149;10469;9680;11104;6516;806;1723;1094;683;1339;2163;7483;4738;1990;659;85;19969;19787;Galgenhof;6567;4047;9535;13582;10614;3586;2955;2994
2024;11268;5389;5879;5425;3942;773;1128;649;413;768;894;3536;2770;1485;753;73;11286;11069;Hummelstein;4518;2793;3957;6750;7311;1504;1437;1016
2024;8017;4049;3968;4285;2608;330;794;440;300;511;823;2944;1979;741;279;64;8145;8154;Gugelstraße;2352;1657;4008;5665;4009;1781;1366;861
2024;13582;7052;6530;7306;4474;557;1245;809;542;988;1453;4785;3178;1304;523;56;13661;13656;Steinbühl;3586;3020;6976;9996;6606;2980;2199;1797
2024;5557;2741;2816;2781;1909;328;539;338;249;507;486;1622;1404;644;307;43;5295;5622;Gibitzenhof;1315;1716;2526;4242;3031;786;1052;688
2024;5406;2774;2632;2552;1955;353;546;269;192;370;482;1570;1461;790;272;132;5551;5677;Sandreuth/Schweinau (18/19);1236;1683;2487;4170;2919;1041;854;592
2024;14901;7507;7394;7481;5422;777;1221;805;616;1281;1547;4626;3662;1657;707;129;14646;14644;St. Leonhard;4114;4254;6533;10787;8368;3079;1922;1532
2024;7330;3784;3546;3938;2482;322;588;540;366;759;674;2410;1665;631;285;108;7263;6085;Sündersbühl;1705;2069;3556;5625;3774;1352;942;1262
2024;9413;4942;4471;5269;2968;403;773;474;338;724;864;3436;2330;889;358;109;9475;9824;Bärenschanze;3324;1882;4207;6089;5206;2344;994;869
2024;10931;5352;5579;6015;3418;526;972;552;361;581;828;4158;2710;1214;527;71;10947;11095;Sandberg;5384;2214;3333;5547;7598;1527;1032;774
2024;5506;2608;2898;2815;1919;280;492;334;166;299;339;1960;1371;671;366;64;5467;5380;Bielingplatz;3196;1038;1272;2310;4234;482;412;378
2024;11947;5822;6125;6171;4165;570;1041;637;445;752;941;4169;2981;1459;563;71;11906;11657;Uhlandstraße;6063;2717;3167;5884;8780;1184;1072;911
2024;10794;5143;5651;5321;3855;712;906;562;325;556;665;3845;2521;1368;952;88;10724;10736;Maxfeld;5779;2221;2794;5015;8000;1021;933;840
2024;12042;5943;6099;6569;3866;563;1044;595;341;563;1053;4628;2829;1450;583;109;12139;11782;Veilhof;6019;2454;3569;6023;8473;1294;1247;1028
2024;4105;2066;2039;2096;1399;203;407;215;157;258;339;1298;1069;553;216;117;4087;4107;Tullnau;1831;1020;1254;2274;2851;428;417;409
2024;6199;2936;3263;2703;2496;428;572;304;248;401;457;1687;1803;860;439;94;6179;6136;Gleißhammer;3585;1468;1146;2614;5053;482;407;257
2024;1048;523;525;545;363;35;105;54;42;79;98;412;236;100;27;356;1051;1014;Dutzendteich;469;212;367;579;681;129;152;86
2024;4309;2214;2095;1804;1752;350;403;202;129;316;319;1222;1211;555;355;77;4262;4260;Rangierbahnhof-Siedlung;1976;1081;1252;2333;3057;389;529;334
2024;7475;3528;3947;2845;3299;658;673;366;273;565;480;1725;2027;1263;776;98;7431;7453;Langwasser Nordwest;2655;3106;1714;4820;5761;612;704;398
2024;6858;3210;3648;2654;3072;536;596;341;273;639;458;1367;1845;1314;621;125;6944;6884;Langwasser Nordost;2996;2710;1152;3862;5706;356;407;389
2024;1737;981;756;1028;562;60;87;86;59;133;220;521;472;176;70;369;1723;1817;Beuthener Straße/Altenfurt Nord (34/35);664;301;772;1073;965;137;213;422
2024;10492;4876;5616;4255;4356;882;999;532;439;888;753;2437;2754;1671;1018;406;10485;10343;Langwasser Südost;3548;4189;2755;6944;7737;1186;900;669
2024;8433;3984;4449;3161;3662;764;846;389;307;573;495;2162;2209;1450;848;283;8382;8328;Langwasser Südwest;3791;3048;1594;4642;6839;669;628;297
2024;8384;4137;4247;3129;4008;663;584;425;342;620;516;1889;2405;1318;869;329;8415;8280;Altenfurt, Moorenbrunn, GP Feucht (38/39);5754;1679;951;2630;7433;423;325;203
2024;4110;2018;2092;1884;1470;303;453;235;154;269;289;1202;1124;533;304;56;4036;4165;Hasenbuck;1716;1058;1336;2394;2774;547;415;374
2024;3110;1677;1433;1628;1117;100;265;189;127;255;372;1060;755;276;76;441;2981;3091;Rangierbahnhof/Dianastraße/Katzwanger Straße (41/42/43);653;854;1603;2457;1507;661;558;384
2024;5164;2553;2611;1919;2565;348;332;288;206;391;326;1131;1492;861;469;300;5156;5069;Trierer Straße;3618;955;591;1546;4573;237;242;112
2024;7375;3487;3888;2783;3231;636;725;373;266;451;457;1731;2144;1245;708;313;7411;7448;Gartenstadt;5011;1352;1012;2364;6363;503;381;128
